,cell_1,cell_2,length
576,cell_719,cell_751,133.2216198670471
577,cell_53,cell_91,110.16351483136329
578,cell_131,cell_179,138.70832707519762
579,cell_3,cell_8,90.08884503644167
580,cell_657,cell_662,91.41115905621152
581,cell_657,cell_690,124.33824833895642
582,cell_751,cell_769,10.0
583,cell_457,cell_458,54.037024344425184
584,cell_458,cell_479,116.0
585,cell_458,cell_495,73.348483283569
586,cell_507,cell_549,72.44308110509934
587,cell_624,cell_657,32.84851700278491
588,cell_16,cell_24,111.80339887498948
589,cell_549,cell_587,118.72657663724664
590,cell_587,cell_601,75.41341979752049
591,cell_751,cell_762,140.98226838861686
592,cell_762,cell_769,74.24284477308234
593,cell_8,cell_16,84.8528137423857
594,cell_690,cell_719,51.10772935672255
595,cell_624,cell_638,44.48710897629083
596,cell_638,cell_657,162.1356059874746
597,cell_1,cell_3,197.34234213670416
598,cell_458,cell_507,98.48857801796105
599,cell_601,cell_612,94.98301275318299
600,cell_587,cell_612,118.31548346763873
601,cell_7,cell_8,126.39620247459969
602,cell_179,cell_207,117.04699910719626
603,cell_601,cell_638,74.02702209328699
604,cell_413,cell_458,92.64987857520376
605,cell_713,cell_719,108.81176406988355
606,cell_690,cell_713,105.05795420542215
607,cell_87,cell_131,64.75195534376033
608,cell_87,cell_91,246.28468773216156
609,cell_16,cell_38,54.589376255824725
610,cell_7,cell_16,119.81652640600127
611,cell_548,cell_549,133.41664064126334
612,cell_3,cell_7,69.05070600652827
613,cell_507,cell_548,27.202941017470888
614,cell_131,cell_207,175.84083712266613
615,cell_53,cell_87,51.884487084291386
616,cell_131,cell_134,122.31994614095795
617,cell_50,cell_53,48.41487374764082
618,cell_38,cell_50,179.25400971805345
619,cell_612,cell_638,22.80350850198276
620,cell_506,cell_507,105.90561835898981
621,cell_87,cell_134,178.54971296532514
622,cell_506,cell_548,66.12110101926616
623,cell_719,cell_741,47.07440918375928
624,cell_741,cell_751,59.09314681077663
625,cell_690,cell_694,56.43946555524016
626,cell_548,cell_587,47.07440918375928
627,cell_694,cell_713,193.9497371795196
628,cell_9,cell_16,155.65346125287417
629,cell_9,cell_38,111.51681487560519
630,cell_638,cell_690,31.622776601683793
631,cell_713,cell_741,113.43720729989786
632,cell_618,cell_638,157.20050890502867
633,cell_612,cell_618,115.39497389401325
634,cell_413,cell_422,225.44178849538966
635,cell_458,cell_506,100.43903623591775
636,cell_422,cell_458,213.78493866500511
637,cell_50,cell_87,142.3938200906205
638,cell_3,cell_4,193.13207915827965
639,cell_638,cell_694,32.31098884280702
640,cell_4,cell_7,108.664621657649
641,cell_583,cell_587,111.42710621747295
642,cell_548,cell_583,46.861498055439924
643,cell_131,cell_162,188.2081022626865
644,cell_134,cell_162,215.22210931807774
645,cell_884,cell_896,153.32318807016765
646,cell_506,cell_547,94.0
647,cell_547,cell_548,115.7410903698423
648,cell_587,cell_618,24.08318915758459
649,cell_638,cell_686,39.698866482558415
650,cell_686,cell_694,186.46179233290664
651,cell_741,cell_759,89.55445270895244
652,cell_7,cell_9,145.43727170158274
653,cell_547,cell_583,62.289646009589745
654,cell_583,cell_618,34.23448553724738
655,cell_638,cell_670,56.32051136131489
656,cell_670,cell_686,127.38916751435343
657,cell_458,cell_489,68.41052550594829
658,cell_9,cell_50,32.55764119219941
659,cell_489,cell_506,111.60645142642964
660,cell_618,cell_670,32.802438933713454
661,cell_1,cell_4,74.96665925596525
662,cell_87,cell_101,127.27922061357856
663,cell_872,cell_884,123.23960402403117
664,cell_896,cell_905,80.72814459112233
665,cell_422,cell_489,81.21576201698781
666,cell_207,cell_225,187.8084130170957
667,cell_583,cell_595,95.4148835350125
668,cell_595,cell_618,104.80458005259122
669,cell_694,cell_741,23.323807579381203
670,cell_9,cell_12,347.81604333325396
671,cell_12,cell_50,68.87670143089025
672,cell_101,cell_134,97.66232993726666
673,cell_618,cell_636,142.35167719419397
674,cell_636,cell_670,76.02631123499285
675,cell_729,cell_741,57.688820407423826
676,cell_694,cell_729,45.34313619501854
677,cell_162,cell_207,11.661903789690601
678,cell_547,cell_557,94.02127418834527
679,cell_557,cell_583,59.0592922409336
680,cell_50,cell_101,34.23448553724738
681,cell_162,cell_225,83.18653737234169
682,cell_1,cell_2,191.049731745428
683,cell_522,cell_547,65.05382386916237
684,cell_506,cell_522,104.9952379872535
685,cell_896,cell_901,15.824872433990318
686,cell_901,cell_905,127.51082643138615
687,cell_694,cell_708,46.04345773288535
688,cell_557,cell_595,84.0
689,cell_686,cell_708,117.18361660232202
690,cell_708,cell_729,129.1200991325518
691,cell_98,cell_101,168.69559008575925
692,cell_905,cell_917,87.72684879784524
693,cell_2,cell_4,18.11546544423744
694,cell_50,cell_98,58.240879114244144
695,cell_884,cell_901,45.34313619501854
696,cell_489,cell_522,36.76955262170047
697,cell_595,cell_636,12.649110640673518
698,cell_46,cell_50,222.80035906613796
699,cell_12,cell_46,87.8179936004006
700,cell_444,cell_489,134.5362404707371
701,cell_422,cell_444,264.76404589747455
702,cell_580,cell_595,163.19313711060278
703,cell_884,cell_887,83.18653737234169
704,cell_522,cell_557,83.18653737234169
705,cell_580,cell_636,105.60303025955268
706,cell_872,cell_887,97.94202632399319
707,cell_664,cell_670,120.0
708,cell_664,cell_686,34.9857113690718
709,cell_636,cell_664,59.93329625508679
710,cell_98,cell_134,47.23908361510255
711,cell_887,cell_901,68.26419266350405
712,cell_444,cell_522,87.72684879784524
713,cell_664,cell_708,71.02112361825881
714,cell_162,cell_198,152.0131573252789
715,cell_198,cell_225,73.7563556583431
716,cell_46,cell_98,62.289646009589745
717,cell_225,cell_243,142.22517358048822
718,cell_901,cell_917,36.078984607067014
719,cell_198,cell_243,146.4923206178399
720,cell_557,cell_580,75.28612089887484
721,cell_98,cell_127,101.6070863670443
722,cell_127,cell_134,14.0
723,cell_620,cell_636,51.884487084291386
724,cell_620,cell_664,129.63024338479042
725,cell_10,cell_12,282.630500831032
726,cell_10,cell_46,102.44998779892558
727,cell_901,cell_906,141.27782982705492
728,cell_906,cell_917,6.300463208125079
729,cell_505,cell_522,67.23094525588644
730,cell_444,cell_505,148.4048516727132
731,cell_76,cell_98,85.90692637965812
732,cell_550,cell_557,84.40379138403677
733,cell_887,cell_889,91.87665107462938
734,cell_46,cell_76,122.64004776123878
735,cell_522,cell_550,31.240998703626616
736,cell_580,cell_620,152.64337522473747
737,cell_889,cell_901,72.80109889280519
738,cell_46,cell_62,107.12331606280034
739,cell_62,cell_76,149.5738814792253
740,cell_550,cell_580,54.589376255824725
741,cell_872,cell_889,111.10404299427485
742,cell_505,cell_550,38.8329756778952
743,cell_438,cell_444,137.7534028617805
744,cell_76,cell_127,62.12889826803627
745,cell_10,cell_62,80.22468448052632
746,cell_127,cell_128,81.6333265278342
747,cell_889,cell_906,10.0
748,cell_505,cell_539,86.83317338436964
749,cell_539,cell_550,86.53323061113575
750,cell_568,cell_580,154.20765220960988
751,cell_889,cell_898,127.62444906835053
752,cell_898,cell_906,82.80096617793781
753,cell_444,cell_469,176.0
754,cell_550,cell_568,46.861498055439924
755,cell_128,cell_153,183.61949203123393
756,cell_236,cell_243,122.06555615733703
757,cell_568,cell_620,42.645017650016285
758,cell_198,cell_200,177.58650920754832
759,cell_438,cell_469,40.24922359499622
760,cell_469,cell_505,95.0789145920377
761,cell_76,cell_93,102.95630140987001
762,cell_93,cell_127,55.46169849544819
763,cell_872,cell_876,142.50614021858848
764,cell_615,cell_620,82.21921916437786
765,cell_568,cell_594,173.01429342496806
766,cell_594,cell_620,11.803011521241308
767,cell_724,cell_729,6.0
768,cell_200,cell_243,10.198039027185569
769,cell_539,cell_568,73.348483283569
770,cell_594,cell_615,143.17821063276352
771,cell_200,cell_236,97.6933979345585
772,cell_615,cell_626,163.66038793678075
773,cell_620,cell_626,64.03124237432849
774,cell_620,cell_639,78.11428571428587
775,cell_870,cell_872,16.630557530851984
776,cell_93,cell_128,159.05279951440977
777,cell_626,cell_639,163.67040050051813
778,cell_429,cell_438,193.28832155082222
779,cell_429,cell_469,90.97252332435328
780,cell_876,cell_889,58.137767414994535
781,cell_10,cell_34,148.08105888330215
782,cell_34,cell_62,176.47662734764623
783,cell_906,cell_912,88.36288813749809
784,cell_153,cell_200,36.918469376025975
785,cell_870,cell_876,137.53544997563355
786,cell_898,cell_912,110.45361017187261
787,cell_62,cell_93,72.80109889280519
788,cell_226,cell_236,319.6810910892291
789,cell_505,cell_540,30.473990391292798
790,cell_539,cell_540,74.94856864237954
791,cell_505,cell_511,87.42588163709755
792,cell_511,cell_540,68.1305184087459
793,cell_889,cell_893,70.02856560004639
794,cell_197,cell_200,129.07362240210043
795,cell_153,cell_197,101.39033484509261
796,cell_469,cell_511,47.53945729601885
797,cell_876,cell_893,12.649110640673518
798,cell_893,cell_898,110.63453348751464
799,cell_912,cell_914,105.26157893552613
800,cell_558,cell_568,109.5627673984187
801,cell_411,cell_429,161.83942659315127
802,cell_539,cell_558,14.560219778561036
803,cell_521,cell_540,78.0018813469893
804,cell_521,cell_539,16.171576828635352
805,cell_724,cell_770,132.48396129343357
806,cell_521,cell_558,160.46183346827368
807,cell_469,cell_481,163.22989922192565
808,cell_34,cell_93,106.45186705737011
809,cell_429,cell_481,6.0
810,cell_429,cell_470,55.569775957799216
811,cell_470,cell_481,147.75655653811103
812,cell_200,cell_226,61.220911460055866
813,cell_710,cell_724,195.48913013259843
814,cell_28,cell_34,294.76770515102226
815,cell_481,cell_511,38.05259518088089
816,cell_511,cell_521,112.8007092176286
817,cell_558,cell_594,59.0592922409336
818,cell_128,cell_130,221.19177298491178
819,cell_429,cell_445,153.88307249337075
820,cell_876,cell_878,11.661903789690601
821,cell_445,cell_470,112.60550608207397
822,cell_130,cell_153,79.62411694957753
823,cell_870,cell_878,117.79643458101778
824,cell_593,cell_615,36.476289754963595
825,cell_593,cell_594,60.03332407921454
826,cell_898,cell_907,58.240879114244144
827,cell_907,cell_914,113.29607230614837
828,cell_593,cell_626,67.71848393698419
829,cell_593,cell_639,48.08326112068523
830,cell_226,cell_273,183.8238228773041
831,cell_197,cell_226,60.4648658313239
832,cell_770,cell_790,199.69977466186586
833,cell_493,cell_511,42.42640687119285
834,cell_481,cell_493,93.50935782048768
835,cell_893,cell_907,68.0
836,cell_639,cell_645,130.98091464026353
837,cell_93,cell_94,93.38094023943002
838,cell_130,cell_197,78.81624198095213
839,cell_93,cell_130,4.804282167012495
840,cell_558,cell_593,93.637599285757
841,cell_94,cell_130,157.0350279396288
842,cell_868,cell_870,99.4786409235671
843,cell_226,cell_230,158.15366074831022
844,cell_230,cell_273,125.56347607455525
845,cell_593,cell_645,50.99019513592785
846,cell_493,cell_521,66.27216610312357
847,cell_34,cell_94,24.166091947189145
848,cell_724,cell_755,140.42791745233566
849,cell_197,cell_230,39.84971769034255
850,cell_411,cell_445,64.62197768561404
851,cell_755,cell_770,74.0
852,cell_645,cell_710,34.92849839314596
853,cell_28,cell_94,73.348483283569
854,cell_878,cell_893,32.937199038144854
855,cell_470,cell_493,17.88854381999832
856,cell_461,cell_470,72.44308110509934
857,cell_445,cell_461,150.0133327407934
858,cell_892,cell_893,114.43775600735974
859,cell_868,cell_878,143.68020044529447
860,cell_892,cell_907,110.9414259868693
861,cell_155,cell_197,100.4987562112089
862,cell_599,cell_645,91.78235124467012
863,cell_593,cell_599,188.22327167489146
864,cell_130,cell_155,229.95651762887695
865,cell_461,cell_493,24.08318915758459
866,cell_411,cell_416,173.95401691251627
867,cell_878,cell_892,50.91168824543142
868,cell_606,cell_645,130.23056476879765
869,cell_155,cell_230,8.0
870,cell_907,cell_916,57.201398584300364
871,cell_710,cell_755,131.0267148332736
872,cell_521,cell_523,108.16653826391968
873,cell_214,cell_230,94.40338976964757
874,cell_155,cell_214,122.11470017978998
875,cell_599,cell_606,231.10170921046864
876,cell_491,cell_493,116.15506876585283
877,cell_491,cell_521,22.80350850198276
878,cell_250,cell_273,108.29589096544707
879,cell_461,cell_491,39.84971769034255
880,cell_558,cell_566,108.01851693112621
881,cell_566,cell_593,36.05551275463989
882,cell_758,cell_770,102.2154587134451
883,cell_416,cell_445,90.50966799187809
884,cell_230,cell_250,190.68298298484845
885,cell_491,cell_523,143.13629868066312
886,cell_878,cell_881,140.356688476182
887,cell_881,cell_892,66.24198064671678
888,cell_28,cell_60,170.95028517086482
889,cell_755,cell_758,143.01048912579805
890,cell_60,cell_94,205.8834621818858
891,cell_566,cell_599,28.284271247461902
892,cell_892,cell_916,82.46211251235322
893,cell_94,cell_155,136.02940858505562
894,cell_461,cell_475,128.06248474865697
895,cell_475,cell_491,48.82622246293481
896,cell_865,cell_868,207.2825819237601
897,cell_552,cell_566,106.6770828247567
898,cell_214,cell_250,90.97252332435328
899,cell_552,cell_599,72.47068372797375
900,cell_606,cell_623,335.2610922848042
901,cell_403,cell_416,230.0
902,cell_416,cell_461,83.23460818673925
903,cell_770,cell_771,77.20103626247513
904,cell_758,cell_771,190.68298298484845
905,cell_883,cell_892,97.52948272189288
906,cell_881,cell_883,152.80052355931247
907,cell_467,cell_491,118.40608092492548
908,cell_523,cell_552,29.268413007882565
909,cell_467,cell_475,163.21764610482532
910,cell_155,cell_170,172.9855485293497
911,cell_552,cell_606,54.91812087098393
912,cell_790,cell_794,144.4714504668656
913,cell_771,cell_790,55.71355310873648
914,cell_170,cell_214,56.32051136131489
915,cell_892,cell_903,145.38225476308997
916,cell_868,cell_881,49.053017873426974
917,cell_44,cell_60,242.49536078036627
918,cell_710,cell_758,82.46211251235322
919,cell_416,cell_475,56.142675390472796
920,cell_883,cell_903,72.80109889280519
921,cell_94,cell_170,30.0
922,cell_671,cell_710,65.29931086925804
923,cell_552,cell_574,143.024473430249
924,cell_574,cell_606,52.15361924162119
925,cell_623,cell_631,289.10897599348243
926,cell_794,cell_820,205.92231544929754
927,cell_514,cell_523,90.35485598461214
928,cell_771,cell_794,157.83535725559088
929,cell_631,cell_649,258.19815195071845
930,cell_199,cell_214,193.86593305684215
931,cell_491,cell_514,35.608987629529715
932,cell_170,cell_199,141.8731828077456
933,cell_94,cell_138,156.8948692596415
934,cell_138,cell_170,124.53112060846478
935,cell_574,cell_623,50.59644256269407
936,cell_865,cell_881,53.94242841344588
937,cell_903,cell_908,114.76933388322858
938,cell_839,cell_865,14.142135623730951
939,cell_467,cell_514,36.22154055254967
940,cell_416,cell_467,60.4648658313239
941,cell_710,cell_715,103.24727599312246
942,cell_671,cell_715,183.6736235827017
943,cell_60,cell_104,97.6933979345585
944,cell_94,cell_104,34.058772731852805
945,cell_839,cell_857,328.4935311387425
946,cell_857,cell_865,128.14054783713078
947,cell_104,cell_138,180.54362353736008
948,cell_649,cell_671,214.83016547961788
949,cell_883,cell_899,100.0
950,cell_899,cell_903,21.633307652783937
951,cell_710,cell_745,66.57326790837296
952,cell_214,cell_264,34.17601498127012
953,cell_871,cell_881,34.92849839314596
954,cell_871,cell_883,35.38361202590826
955,cell_745,cell_758,108.24047302187847
956,cell_264,cell_303,175.08450169787864
957,cell_592,cell_623,34.058772731852805
958,cell_574,cell_592,133.46160496562297
959,cell_899,cell_908,130.0
960,cell_503,cell_514,100.65783625729296
961,cell_865,cell_871,156.98407562552325
962,cell_467,cell_503,115.13470371699404
963,cell_592,cell_631,66.24198064671678
964,cell_514,cell_538,69.85699678629192
965,cell_44,cell_104,52.49761899362675
966,cell_883,cell_885,128.51459061133875
967,cell_199,cell_264,136.85028315644803
968,cell_871,cell_885,80.049984384758
969,cell_416,cell_424,134.16407864998737
970,cell_424,cell_467,107.33126291998991
971,cell_715,cell_745,76.96752561957543
972,cell_538,cell_574,11.11704469100646
973,cell_538,cell_546,122.14745187681976
974,cell_546,cell_574,40.44749683231337
975,cell_503,cell_538,46.17358552246078
976,cell_745,cell_771,62.80127387243033
977,cell_403,cell_424,179.61069010501575
978,cell_546,cell_592,98.08159868191383
979,cell_168,cell_199,231.9051530259731
980,cell_168,cell_170,50.039984012787215
981,cell_138,cell_168,101.86265262597475
982,cell_44,cell_66,177.9100896520487
983,cell_609,cell_631,38.62641583165593
984,cell_592,cell_609,136.5283853270081
985,cell_66,cell_104,105.54619841567009
986,cell_885,cell_899,100.31948963187563
987,cell_609,cell_649,45.33603009748409
988,cell_244,cell_264,18.0
989,cell_244,cell_303,85.27602242131137
990,cell_199,cell_244,194.28844535895593
991,cell_864,cell_865,50.99019513592785
992,cell_857,cell_864,217.3660507070964
993,cell_788,cell_794,174.01149387324966
994,cell_864,cell_871,146.21901381147393
995,cell_680,cell_715,164.07315441594946
996,cell_871,cell_879,132.5745073534124
997,cell_879,cell_885,161.05899540230592
998,cell_680,cell_745,127.90621564255585
999,cell_771,cell_788,77.89736837660179
1000,cell_649,cell_650,78.92499999999997
1001,cell_745,cell_764,148.60686390607938
1002,cell_650,cell_671,98.79271228182775
1003,cell_764,cell_771,141.66156853571826
1004,cell_908,cell_911,57.271284253105414
1005,cell_467,cell_484,118.82760622010359
1006,cell_484,cell_503,56.85068161420758
1007,cell_432,cell_467,36.05551275463989
1008,cell_424,cell_432,264.40121028467325
1009,cell_104,cell_150,58.82176467941097
1010,cell_138,cell_150,34.17601498127012
1011,cell_609,cell_650,18.70175459682879
1012,cell_899,cell_911,63.90618123468183
1013,cell_671,cell_680,150.30635382444748
1014,cell_432,cell_484,107.20074626605917
1015,cell_274,cell_303,72.0
1016,cell_303,cell_321,8.94427190999916
1017,cell_150,cell_168,66.84309986827361
1018,cell_584,cell_592,42.190046219457976
1019,cell_244,cell_274,205.2997808084558
1020,cell_503,cell_516,58.240879114244144
1021,cell_836,cell_839,246.34934544260514
1022,cell_274,cell_321,118.15244390193544
1023,cell_584,cell_609,83.23460818673925
1024,cell_764,cell_788,108.01851693112621
1025,cell_546,cell_584,94.76286192385707
1026,cell_102,cell_104,188.67962264113208
1027,cell_168,cell_244,89.28605714219886
1028,cell_102,cell_150,76.23647421018367
1029,cell_484,cell_516,196.9771560359221
1030,cell_403,cell_404,43.68065933568311
1031,cell_879,cell_899,58.309518948453004
1032,cell_66,cell_102,28.284271247461902
1033,cell_404,cell_424,215.0348808914498
1034,cell_516,cell_546,86.83317338436964
1035,cell_159,cell_168,90.97252332435328
1036,cell_899,cell_902,69.77105417004964
1037,cell_150,cell_159,116.0
1038,cell_902,cell_911,125.25174649480941
1039,cell_650,cell_680,17.88854381999832
1040,cell_29,cell_66,26.0
1041,cell_546,cell_556,69.07966415668217
1042,cell_632,cell_650,85.5102333057278
1043,cell_556,cell_584,137.8985134075056
1044,cell_632,cell_680,90.9065454189081
1045,cell_864,cell_879,90.97252332435328
1046,cell_737,cell_745,49.193495504995376
1047,cell_680,cell_737,49.678969393496885
1048,cell_879,cell_902,43.266615305567875
1049,cell_680,cell_702,240.871348325989
1050,cell_132,cell_150,55.60575509783138
1051,cell_102,cell_132,72.47068372797375
1052,cell_516,cell_556,53.85164807134504
1053,cell_168,cell_171,113.718951806636
1054,cell_460,cell_484,169.19810873647495
1055,cell_159,cell_171,156.98407562552325
1056,cell_432,cell_460,364.0
1057,cell_168,cell_219,112.60550608207397
1058,cell_219,cell_244,73.78346698278686
1059,cell_737,cell_764,70.3420215802759
1060,cell_321,cell_337,141.1523999087511
1061,cell_823,cell_836,124.85191228010886
1062,cell_764,cell_782,104.80458005259122
1063,cell_702,cell_737,110.43550153822818
1064,cell_782,cell_788,139.62807740565648
1065,cell_879,cell_890,119.23086848631104
1066,cell_890,cell_902,125.1718818265508
1067,cell_244,cell_251,93.05912099305473
1068,cell_274,cell_280,226.06193841511666
1069,cell_251,cell_274,58.137767414994535
1070,cell_280,cell_321,139.16896205691842
1071,cell_680,cell_683,15.769354919072592
1072,cell_683,cell_702,135.81077170026836
1073,cell_132,cell_159,96.04165762834376
1074,cell_632,cell_683,55.569775957799216
1075,cell_836,cell_857,64.40496875241847
1076,cell_911,cell_915,10.0
1077,cell_516,cell_519,146.12323566086263
1078,cell_519,cell_556,147.5127113166862
1079,cell_856,cell_857,145.67086187704115
1080,cell_902,cell_915,95.70788891204319
1081,cell_869,cell_879,67.468511173732
1082,cell_864,cell_869,188.04254837669055
1083,cell_29,cell_54,184.69434208984313
1084,cell_617,cell_632,213.41040274550818
1085,cell_617,cell_683,38.2099463490856
1086,cell_804,cell_820,70.9365914038728
1087,cell_171,cell_194,154.1557653803451
1088,cell_194,cell_219,53.85164807134504
1089,cell_219,cell_251,44.721359549995796
1090,cell_856,cell_864,58.034472514187634
1091,cell_869,cell_890,94.33981132056604
1092,cell_737,cell_739,170.88007490635061
1093,cell_739,cell_764,56.85068161420758
1094,cell_251,cell_280,120.83045973594572
1095,cell_54,cell_74,126.49110640673517
1096,cell_22,cell_29,146.87409574189726
1097,cell_836,cell_856,76.4198926981712
1098,cell_764,cell_767,87.36131867136622
1099,cell_767,cell_782,207.57649192526594
1100,cell_617,cell_666,121.21056059601408
1101,cell_666,cell_683,101.9803902718557
1102,cell_404,cell_432,155.60205654167942
1103,cell_584,cell_585,54.037024344425184
1104,cell_782,cell_804,158.84305438186155
1105,cell_556,cell_585,68.41052550594829
1106,cell_74,cell_132,32.2490309931942
1107,cell_219,cell_224,106.16967551989597
1108,cell_224,cell_251,84.5931439302264
1109,cell_585,cell_617,75.31268153505093
1110,cell_22,cell_54,74.96665925596525
1111,cell_836,cell_840,162.78820596099706
1112,cell_823,cell_840,264.12118430750684
1113,cell_132,cell_171,8.246211251235321
1114,cell_194,cell_224,106.30145812734649
1115,cell_739,cell_767,164.1097193952875
1116,cell_484,cell_519,46.51881339845203
1117,cell_124,cell_132,172.5688268488837
1118,cell_124,cell_171,108.40664186294121
1119,cell_863,cell_864,68.11754546370561
1120,cell_804,cell_823,124.06449935416659
1121,cell_856,cell_863,118.18629362155326
1122,cell_863,cell_869,135.35139452550905
1123,cell_909,cell_915,60.8276253029822
1124,cell_74,cell_124,93.03762679690406
1125,cell_902,cell_909,65.5133574166368
1126,cell_484,cell_494,62.6418390534633
1127,cell_891,cell_902,47.20169488482379
1128,cell_890,cell_891,131.24023773218335
1129,cell_460,cell_494,181.0414317221337
1130,cell_321,cell_327,49.47726750741192
1131,cell_327,cell_337,192.16659439142902
1132,cell_20,cell_22,145.43727170158274
1133,cell_280,cell_291,189.52572384771415
1134,cell_519,cell_585,32.2490309931942
1135,cell_291,cell_321,12.0
1136,cell_869,cell_891,11.313708498984761
1137,cell_291,cell_327,28.635642126552707
1138,cell_683,cell_692,65.5133574166368
1139,cell_22,cell_42,130.0
1140,cell_494,cell_519,77.15315373569297
1141,cell_42,cell_54,60.166435825965294
1142,cell_400,cell_404,110.0
1143,cell_910,cell_915,19.697715603592208
1144,cell_909,cell_910,137.7679207943562
1145,cell_869,cell_882,108.81176406988355
1146,cell_882,cell_891,64.40496875241847
1147,cell_692,cell_739,55.31726674375732
